transaction_id,date,product,category,quantity,unit_price,region,customer_id
1,2023-03-11,Pillow,Home,2,77.5,West,4853
2,2024-08-15,Textbook,Books,10,75.61,Southeast,1651
3,2024-06-19,Pillow,Home,10,41.2,West,6183
4,2023-09-29,Milk,Groceries,6,17.06,Southeast,7484
5,2024-04-14,Hat,Clothing,2,74.0,Northeast,2638
6,2023-03-12,Headphones,Electronics,3,520.7,Midwest,5002
7,2024-09-18,Eggs,Groceries,9,4.78,Midwest,9666
8,2023-09-28,Monitor,Electronics,2,933.79,Southeast,2891
9,2023-12-18,Tablet,Electronics,10,294.17,Southeast,4335
10,2024-10-11,Cheese,Groceries,1,7.02,Northeast,7939
11,2023-06-15,Rice,Groceries,3,1.08,Midwest,8239
12,2024-12-08,Candle,Home,2,53.11,Northeast,3442
13,2023-06-01,Lamp,Home,10,76.1,West,8041
14,2023-08-04,T-Shirt,Clothing,1,53.15,Midwest,5088
15,2023-06-08,Keyboard,Electronics,7,786.7,West,4878
16,2023-12-07,Jacket,Clothing,1,133.39,Southeast,7745
17,2023-02-09,Hat,Clothing,2,32.28,Southwest,8711
18,2023-11-09,Sneakers,Clothing,8,124.31,Midwest,4728
19,2023-10-13,T-Shirt,Clothing,7,102.39,Midwest,2137
20,2023-12-06,Chicken,Groceries,7,16.39,West,1452
21,2023-04-22,Monitor,Electronics,5,203.2,Northeast,8119
22,2024-01-30,Chicken,Groceries,9,11.46,Northeast,4114
23,2024-07-05,Rice,Groceries,1,18.0,West,4228
24,2023-11-18,Apples,Groceries,6,2.67,West,3041
25,2024-12-14,Eggs,Groceries,6,17.0,Southwest,5844
26,2024-09-22,Blanket,Home,7,22.1,Southeast,5930
27,2024-08-16,Novel,Books,4,27.78,Southwest,6279
28,2024-04-29,Guide,Books,4,38.15,West,3780
29,2023-04-06,Monitor,Electronics,10,529.98,Midwest,4848
30,2023-02-17,Milk,Groceries,3,20.35,Northeast,5011
31,2024-12-14,Textbook,Books,10,39.15,Southeast,7291
32,2024-03-11,Journal,Books,1,23.29,Northeast,4585
33,2024-04-12,Dress,Clothing,4,17.02,Northeast,3184
34,2024-05-31,Magazine,Books,8,76.24,West,7991
35,2023-09-23,Vase,Home,8,81.36,Southwest,5050
36,2023-03-21,Cheese,Groceries,5,16.03,Southwest,5681
37,2023-05-22,Hat,Clothing,9,57.01,Northeast,3471
38,2024-02-29,Socks,Clothing,4,107.14,Northeast,7678
39,2024-02-03,Cheese,Groceries,4,10.97,Southwest,1320
40,2024-02-04,Candle,Home,6,46.06,Midwest,7865
41,2024-05-12,Mug,Home,5,47.0,Southwest,1475
42,2024-04-23,Magazine,Books,7,55.16,Southeast,3091
43,2024-11-09,Lamp,Home,10,82.17,West,1444
44,2023-02-21,Mouse,Electronics,8,161.62,Southeast,5262
45,2024-01-24,Magazine,Books,6,20.86,Midwest,5558
46,2024-07-06,Comic,Books,8,67.61,Northeast,1853
47,2023-09-11,Milk,Groceries,1,16.59,Northeast,4266
48,2024-07-31,Tablet,Electronics,8,261.38,Northeast,4571
49,2024-09-13,Comic,Books,3,62.51,West,2876
50,2024-08-12,Hat,Clothing,1,25.12,Midwest,7149
51,2024-12-14,Biography,Books,4,10.69,Northeast,5941
52,2023-12-22,Pillow,Home,10,72.87,Northeast,9728
53,2024-03-06,Magazine,Books,6,10.16,Northeast,9031
54,2024-03-21,Mouse,Electronics,8,961.95,Southeast,3885
55,2024-04-21,Plate,Home,9,57.73,Southwest,8136
56,2023-10-13,Plate,Home,4,33.06,Northeast,8385
57,2023-01-30,Dress,Clothing,7,89.77,Midwest,9098
58,2023-12-15,Bread,Groceries,6,12.69,Midwest,5581
59,2023-03-29,Plate,Home,9,52.68,Southeast,4954
60,2024-10-23,Guide,Books,4,46.63,Southwest,9041
61,2024-12-09,Novel,Books,4,11.97,Southwest,4986
62,2024-03-11,Chicken,Groceries,9,12.35,Midwest,6419
63,2023-05-04,Cheese,Groceries,5,7.49,Southeast,4155
64,2023-08-10,Pasta,Groceries,3,18.82,Southeast,8933
65,2023-08-21,Eggs,Groceries,4,24.52,Midwest,6912
66,2023-10-08,Hat,Clothing,9,11.97,Southeast,1745
67,2023-04-16,Monitor,Electronics,3,706.48,Southwest,1200
68,2023-07-08,Plate,Home,8,45.42,Midwest,1841
69,2024-05-18,Cheese,Groceries,2,3.73,Southwest,2213
70,2023-03-29,Lamp,Home,10,18.74,Midwest,5066
71,2024-06-19,Mouse,Electronics,10,618.12,Southeast,7232
72,2023-11-09,Guide,Books,10,27.29,Southwest,1986
73,2023-09-28,Pillow,Home,4,85.59,Southeast,2330
74,2023-01-03,Sneakers,Clothing,2,34.32,Southeast,7693
75,2024-12-24,Guide,Books,4,26.83,Midwest,5632
76,2024-11-08,Textbook,Books,5,56.54,West,4241
77,2023-05-26,Textbook,Books,3,45.83,Midwest,2169
78,2023-10-23,Tablet,Electronics,10,798.84,West,8195
79,2024-05-27,Webcam,Electronics,7,698.01,Midwest,9847
80,2023-11-27,Guide,Books,1,11.02,Southwest,5102
81,2023-01-22,Phone,Electronics,10,252.05,West,5415
82,2024-06-15,Lamp,Home,3,70.09,Southwest,8245
83,2023-04-04,Bread,Groceries,7,24.92,Southwest,8700
84,2023-12-04,Apples,Groceries,2,8.99,Southeast,7744
85,2023-02-07,Comic,Books,7,54.68,West,8451
86,2024-06-10,Keyboard,Electronics,2,274.82,Southwest,1018
87,2024-01-06,Vase,Home,4,40.7,West,9167
88,2023-10-22,Novel,Books,9,20.26,Southeast,8178
89,2024-12-27,Textbook,Books,10,7.16,Southeast,3594
90,2023-04-27,Rice,Groceries,2,14.24,Southeast,8560
91,2024-12-23,Tablet,Electronics,5,513.41,West,5479
92,2024-07-18,Guide,Books,4,78.51,Southwest,3369
93,2023-03-13,Biography,Books,9,74.13,Southeast,5526
94,2023-01-03,Magazine,Books,9,75.06,Midwest,5634
95,2024-05-10,Cheese,Groceries,8,21.76,West,6654
96,2024-12-15,Apples,Groceries,6,11.92,Southeast,4912
97,2023-11-22,Candle,Home,7,25.61,Northeast,8749
98,2023-02-07,Journal,Books,3,79.12,Southwest,3068
99,2024-06-22,Towel,Home,8,79.04,Northeast,8486
100,2024-04-25,Tablet,Electronics,3,427.67,Northeast,5342
101,2024-01-25,Apples,Groceries,6,16.59,West,6188
102,2023-08-21,Novel,Books,4,51.3,Midwest,2480
103,2023-06-20,Textbook,Books,2,62.02,Southwest,5906
104,2024-01-03,Laptop,Electronics,1,344.63,Midwest,7141
105,2024-11-29,Cookbook,Books,7,23.3,West,3950
106,2024-11-30,Jacket,Clothing,7,21.05,West,4945
107,2023-09-19,Cookbook,Books,5,22.4,Southwest,1153
108,2024-03-28,Comic,Books,3,55.81,Northeast,6661
109,2024-04-12,Plate,Home,7,59.66,Midwest,5949
110,2024-01-26,Socks,Clothing,2,129.46,Southeast,6881
111,2024-11-05,Plate,Home,5,89.38,Northeast,7484
112,2024-05-23,Rice,Groceries,1,14.57,West,5689
113,2023-09-14,Scarf,Clothing,4,40.65,West,3240
114,2024-08-16,Laptop,Electronics,8,329.65,Northeast,6977
115,2023-06-29,Jeans,Clothing,6,137.34,Southwest,4289
116,2023-09-21,Scarf,Clothing,5,84.31,Southeast,8894
117,2023-05-25,Chicken,Groceries,8,20.29,Northeast,4696
118,2023-09-28,Magazine,Books,7,11.76,Northeast,9791
119,2024-01-26,Webcam,Electronics,5,387.52,West,7086
120,2023-12-02,Headphones,Electronics,10,487.32,West,4626
121,2023-04-30,Webcam,Electronics,5,912.1,Southwest,3290
122,2023-04-10,Laptop,Electronics,8,325.22,Northeast,4846
123,2024-03-05,Blanket,Home,6,38.64,West,3531
124,2023-10-14,Textbook,Books,10,67.52,Southwest,1536
125,2023-04-12,Milk,Groceries,4,11.63,Midwest,7018
126,2023-05-06,Towel,Home,5,11.08,Southeast,8450
127,2023-02-21,Headphones,Electronics,10,652.44,Northeast,6464
128,2024-07-21,Jacket,Clothing,4,120.17,Northeast,4394
129,2023-06-01,Mug,Home,4,74.29,Midwest,1046
130,2023-06-28,Bread,Groceries,9,24.69,Midwest,2801
131,2023-11-28,Tablet,Electronics,4,44.4,West,1258
132,2023-04-27,Hat,Clothing,7,17.33,West,2041
133,2023-04-22,Guide,Books,9,63.34,West,8405
134,2023-11-05,Mug,Home,1,85.4,West,8504
135,2024-12-03,Laptop,Electronics,7,998.62,Southwest,2768
136,2024-09-14,Guide,Books,2,10.5,Midwest,3430
137,2024-12-30,Tablet,Electronics,10,296.76,West,6327
138,2023-04-12,Comic,Books,10,39.02,Southwest,2874
139,2023-12-14,Mug,Home,4,42.12,Southwest,8430
140,2023-11-17,Journal,Books,6,59.71,Southwest,5176
141,2023-04-04,Bread,Groceries,8,17.47,Northeast,2398
142,2024-07-23,Mouse,Electronics,6,123.66,Southeast,1982
143,2024-11-12,Towel,Home,7,62.27,Midwest,7929
144,2024-08-14,Monitor,Electronics,6,612.39,Northeast,9313
145,2023-12-25,Jacket,Clothing,4,101.93,Northeast,7022
146,2024-09-28,Monitor,Electronics,7,586.87,West,1430
147,2023-12-14,Plate,Home,5,8.42,Midwest,6751
148,2023-03-13,Tablet,Electronics,10,873.76,Southwest,3324
149,2024-03-05,Phone,Electronics,4,753.72,Southwest,8432
150,2024-09-02,Bread,Groceries,6,9.87,West,2391
151,2024-11-21,Tablet,Electronics,10,182.68,Northeast,2336
152,2024-03-28,Cheese,Groceries,8,16.88,West,7785
153,2024-03-16,Milk,Groceries,2,19.11,Midwest,2816
154,2023-08-14,Cheese,Groceries,5,13.64,Northeast,7475
155,2023-05-21,Lamp,Home,5,6.64,Southeast,5186
156,2023-06-29,Chicken,Groceries,8,3.87,Southwest,3116
157,2024-02-11,Biography,Books,6,42.51,Northeast,1693
158,2024-08-12,Novel,Books,2,39.47,Midwest,8033
159,2023-04-28,Candle,Home,7,65.59,Midwest,7636
160,2024-12-07,Keyboard,Electronics,10,196.71,Southwest,6928
161,2024-08-26,Mouse,Electronics,4,849.14,Southwest,7560
162,2023-08-15,Pillow,Home,5,39.23,Midwest,6456
163,2024-06-06,Jeans,Clothing,2,81.46,West,4176
164,2023-04-16,Chicken,Groceries,3,18.45,Southeast,3399
165,2023-07-01,Milk,Groceries,3,5.15,Northeast,9095
166,2023-11-27,Guide,Books,10,56.08,West,6179
167,2023-10-09,Dress,Clothing,8,19.55,Midwest,1920
168,2023-02-28,Pasta,Groceries,8,8.44,Northeast,7041
169,2024-08-31,Pasta,Groceries,2,16.46,West,9307
170,2024-08-08,Guide,Books,1,48.51,Southwest,4084
171,2023-04-16,Cheese,Groceries,1,13.02,Southwest,6626
172,2024-06-20,Tablet,Electronics,8,67.96,Southwest,9564
173,2024-02-23,Blanket,Home,5,36.56,Southwest,6543
174,2023-12-04,Lamp,Home,6,72.29,Northeast,2548
175,2023-12-08,Candle,Home,10,29.86,Southeast,2335
176,2023-05-13,Blanket,Home,5,83.0,Southwest,2388
177,2024-11-17,Apples,Groceries,6,16.43,Southeast,9624
